ID,utility_payment_regularity,avg_monthly_utility_spend,mobile_recharge_pattern,household_deprivation_score,housing_type,asset_ownership_count,household_size_to_earners_ratio,primary_income_source
753,Irregular,1419,Weekly,24.2,Semi-pucca,8,1.5,Salaried
754,Irregular,1091,Monthly,23.0,Pucca,9,2.0,Salaried
755,Regular,1449,Bi-weekly,21.6,Semi-pucca,7,1.5,Pension
756,Regular,1253,Monthly,12.3,Pucca,6,1.3,Business
757,Irregular,911,Bi-weekly,51.6,Pucca,5,2.0,Agriculture
758,Regular,1245,Monthly,26.2,Pucca,7,1.5,Business
759,Regular,1290,Bi-weekly,23.1,Pucca,8,1.5,Business
760,Regular,1341,Bi-weekly,9.6,Semi-pucca,9,1.5,Salaried
761,Regular,993,Monthly,34.0,Pucca,6,1.3,Daily Wage
762,Regular,1343,Bi-weekly,15.7,Pucca,10,1.3,Salaried
763,Regular,1281,Bi-weekly,16.2,Pucca,7,1.5,Business
764,Regular,1124,Bi-weekly,19.5,Semi-pucca,9,1.4,Salaried
765,Regular,1169,Ad-hoc,38.9,Pucca,5,1.5,Agriculture
766,Regular,1107,Bi-weekly,32.4,Pucca,6,1.4,Daily Wage
767,Regular,1232,Monthly,5.7,Pucca,9,1.4,Salaried
768,Regular,721,Ad-hoc,50.7,Semi-pucca,4,2.0,Daily Wage
769,Defaulted,1339,Ad-hoc,30.4,Pucca,8,1.8,Agriculture
770,Regular,1004,Weekly,29.7,Semi-pucca,9,1.3,Salaried
771,Regular,1355,Bi-weekly,13.7,Pucca,9,1.3,Business
772,Regular,958,Ad-hoc,44.9,Semi-pucca,6,1.5,Daily Wage
773,Regular,1223,Bi-weekly,25.2,Pucca,6,1.3,Salaried
774,Regular,1481,Bi-weekly,17.0,Pucca,9,1.5,Pension
775,Regular,1451,Weekly,8.0,Pucca,10,1.4,Business
776,Irregular,1261,Bi-weekly,23.3,Kutcha,7,1.4,Salaried
777,Irregular,839,Monthly,48.4,Kutcha,5,1.5,Daily Wage
778,Regular,1120,Monthly,16.9,Semi-pucca,8,1.3,Pension
779,Regular,1656,Weekly,7.5,Semi-pucca,9,1.2,Salaried
780,Regular,1190,Weekly,18.5,Pucca,5,1.3,Salaried
781,Regular,1200,Monthly,16.8,Pucca,9,2.0,Salaried
782,Regular,1136,Weekly,27.6,Pucca,6,1.3,Salaried
783,Regular,1282,Bi-weekly,13.1,Pucca,7,1.3,Business
784,Regular,1453,Weekly,15.4,Pucca,9,1.2,Business
785,Regular,1376,Bi-weekly,9.0,Pucca,8,1.2,Pension
786,Irregular,835,Ad-hoc,34.7,Semi-pucca,6,2.0,Daily Wage
787,Irregular,1126,Weekly,16.5,Semi-pucca,10,1.5,Salaried
788,Regular,1241,Monthly,14.5,Semi-pucca,7,1.5,Salaried
789,Regular,1047,Bi-weekly,45.1,Kutcha,4,1.5,Business
790,Irregular,605,Monthly,52.9,Pucca,5,1.5,Agriculture
791,Regular,1054,Monthly,37.7,Pucca,8,1.5,Agriculture
792,Regular,954,Ad-hoc,49.8,Semi-pucca,3,2.0,Business
793,Irregular,1058,Monthly,42.3,Pucca,6,2.0,Daily Wage
794,Regular,1149,Weekly,21.7,Pucca,9,1.4,Salaried
795,Regular,1430,Monthly,10.5,Pucca,6,1.2,Business
796,Regular,1091,Weekly,17.7,Pucca,9,1.5,Pension
797,Regular,1360,Weekly,15.6,Pucca,9,1.2,Salaried
798,Irregular,997,Monthly,35.8,Semi-pucca,6,1.3,Daily Wage
799,Regular,1143,Weekly,23.8,Pucca,9,1.7,Salaried
800,Irregular,1355,Weekly,4.4,Pucca,10,1.4,Salaried
801,Regular,1295,Weekly,17.7,Pucca,8,1.4,Business
802,Regular,1156,Weekly,8.1,Pucca,9,1.2,Pension
803,Regular,1267,Weekly,23.3,Pucca,7,2.0,Salaried
804,Regular,1019,Monthly,45.6,Pucca,5,1.8,Agriculture
805,Regular,1235,Bi-weekly,11.1,Semi-pucca,10,1.3,Salaried
806,Irregular,823,Ad-hoc,52.4,Semi-pucca,4,3.0,Daily Wage
807,Regular,1005,Weekly,24.9,Pucca,5,1.8,Salaried
808,Defaulted,844,Ad-hoc,35.8,Pucca,8,1.5,Daily Wage
809,Regular,1272,Bi-weekly,14.1,Pucca,9,1.2,Salaried
810,Regular,1146,Monthly,25.6,Pucca,7,1.3,Salaried
811,Irregular,776,Monthly,52.4,Semi-pucca,6,2.0,Agriculture
812,Regular,694,Ad-hoc,48.2,Semi-pucca,7,2.0,Daily Wage
813,Regular,1173,Weekly,26.4,Pucca,4,1.5,Salaried
814,Irregular,1103,Bi-weekly,22.4,Pucca,8,1.4,Salaried
815,Irregular,991,Weekly,27.6,Semi-pucca,6,1.7,Business
816,Irregular,1225,Monthly,32.1,Pucca,7,1.0,Daily Wage
817,Defaulted,650,Monthly,55.7,Semi-pucca,5,1.5,Agriculture
818,Regular,1300,Bi-weekly,16.2,Pucca,9,1.2,Salaried
819,Regular,1019,Bi-weekly,15.5,Pucca,8,1.5,Business
820,Regular,968,Weekly,21.0,Kutcha,6,1.2,Salaried
821,Regular,1350,Weekly,10.7,Kutcha,8,1.5,Business
822,Irregular,952,Ad-hoc,36.4,Pucca,7,1.4,Daily Wage
823,Regular,1159,Monthly,7.0,Pucca,10,1.5,Salaried
824,Irregular,900,Ad-hoc,57.5,Pucca,3,1.7,Daily Wage
825,Regular,1142,Bi-weekly,28.2,Pucca,8,1.5,Business
826,Defaulted,684,Bi-weekly,37.9,Kutcha,5,1.8,Business
827,Regular,1484,Weekly,4.6,Kutcha,10,1.0,Salaried
828,Regular,821,Monthly,39.1,Semi-pucca,5,1.6,Daily Wage
829,Irregular,802,Monthly,32.6,Pucca,7,1.5,Agriculture
830,Regular,905,Ad-hoc,34.5,Semi-pucca,8,2.0,Daily Wage
831,Regular,1133,Bi-weekly,23.7,Pucca,6,1.4,Business
832,Regular,944,Bi-weekly,42.4,Kutcha,5,1.0,Daily Wage
833,Regular,1029,Weekly,12.9,Semi-pucca,9,1.3,Business
834,Regular,839,Bi-weekly,33.0,Pucca,10,1.3,Daily Wage
835,Regular,1220,Bi-weekly,6.7,Pucca,8,1.3,Business
836,Regular,1186,Weekly,10.6,Pucca,10,1.3,Business
837,Irregular,917,Monthly,53.6,Pucca,7,2.0,Agriculture
838,Irregular,1166,Bi-weekly,16.0,Semi-pucca,8,1.0,Salaried
839,Regular,1368,Weekly,12.3,Pucca,8,1.3,Salaried
840,Regular,1212,Bi-weekly,31.0,Pucca,6,1.7,Agriculture
841,Irregular,927,Ad-hoc,50.1,Semi-pucca,5,2.0,Daily Wage
842,Regular,757,Weekly,19.3,Semi-pucca,6,1.3,Salaried
843,Irregular,609,Ad-hoc,68.0,Semi-pucca,3,3.0,Business
844,Regular,1194,Bi-weekly,16.6,Semi-pucca,10,1.5,Salaried
845,Regular,902,Monthly,44.5,Kutcha,5,1.8,Daily Wage
846,Regular,792,Bi-weekly,28.7,Semi-pucca,7,1.3,Business
847,Regular,1067,Monthly,20.5,Pucca,6,1.3,Business
848,Irregular,816,Monthly,35.7,Pucca,7,1.7,Agriculture
849,Irregular,1174,Monthly,8.7,Pucca,9,1.0,Salaried
850,Regular,1102,Weekly,23.8,Pucca,8,1.2,Salaried
851,Regular,1062,Bi-weekly,21.3,Pucca,8,1.5,Salaried
852,Irregular,908,Ad-hoc,33.8,Semi-pucca,6,2.0,Daily Wage
853,Regular,1052,Monthly,29.1,Pucca,8,1.5,Business
854,Irregular,948,Bi-weekly,34.8,Kutcha,6,1.7,Daily Wage
855,Irregular,963,Monthly,42.2,Pucca,6,1.3,Daily Wage
856,Regular,1074,Weekly,24.2,Pucca,8,1.7,Pension
857,Irregular,847,Ad-hoc,30.2,Semi-pucca,8,1.4,Agriculture
858,Irregular,630,Monthly,56.9,Semi-pucca,5,2.3,Daily Wage
859,Regular,1030,Monthly,29.4,Semi-pucca,7,1.2,Business
860,Regular,1076,Weekly,23.7,Semi-pucca,9,1.5,Salaried
861,Irregular,723,Bi-weekly,43.5,Kutcha,6,2.5,Daily Wage
862,Irregular,1222,Weekly,24.8,Pucca,9,1.4,Salaried
863,Irregular,793,Ad-hoc,59.2,Semi-pucca,5,3.0,Daily Wage
864,Defaulted,772,Ad-hoc,49.4,Pucca,3,1.8,Agriculture
865,Regular,1165,Weekly,19.3,Pucca,10,1.1,Salaried
866,Regular,1012,Monthly,21.6,Pucca,8,1.2,Salaried
867,Irregular,1019,Monthly,45.5,Pucca,5,2.0,Agriculture
868,Defaulted,1214,Ad-hoc,43.2,Pucca,6,1.7,Agriculture
869,Regular,789,Ad-hoc,47.3,Pucca,5,1.7,Daily Wage
870,Regular,1292,Weekly,25.4,Pucca,8,1.4,Salaried
871,Regular,965,Weekly,28.6,Semi-pucca,6,1.3,Salaried
872,Regular,1070,Weekly,23.2,Pucca,9,1.4,Salaried
873,Regular,1344,Weekly,23.3,Semi-pucca,8,2.0,Salaried
874,Regular,1196,Monthly,17.0,Pucca,8,1.5,Business
875,Irregular,955,Ad-hoc,49.2,Kutcha,4,2.0,Agriculture
876,Irregular,997,Ad-hoc,33.2,Kutcha,7,1.5,Agriculture
877,Defaulted,770,Ad-hoc,34.3,Semi-pucca,7,1.5,Daily Wage
878,Regular,1206,Monthly,47.3,Semi-pucca,6,1.8,Daily Wage
879,Regular,1306,Weekly,5.8,Pucca,8,1.3,Salaried
880,Defaulted,1054,Ad-hoc,33.4,Kutcha,5,1.4,Daily Wage
881,Regular,741,Ad-hoc,50.6,Kutcha,6,1.7,Daily Wage
882,Regular,1389,Bi-weekly,10.9,Semi-pucca,10,1.2,Salaried
883,Irregular,974,Ad-hoc,47.6,Semi-pucca,4,2.0,Daily Wage
884,Regular,813,Monthly,33.5,Pucca,9,1.5,Agriculture
885,Regular,1081,Bi-weekly,31.1,Semi-pucca,7,1.2,Daily Wage
886,Irregular,1175,Ad-hoc,31.6,Pucca,7,1.5,Agriculture
887,Regular,1420,Bi-weekly,13.4,Pucca,8,1.2,Salaried
888,Regular,1443,Bi-weekly,4.3,Pucca,8,1.4,Business
889,Regular,1018,Monthly,44.0,Kutcha,7,2.0,Daily Wage
890,Regular,1192,Weekly,12.0,Pucca,8,2.0,Salaried
891,Regular,1007,Weekly,20.0,Pucca,7,1.3,Pension
892,Irregular,585,Ad-hoc,70.1,Kutcha,4,2.0,Daily Wage
893,Regular,914,Bi-weekly,28.2,Semi-pucca,5,1.5,Business
894,Irregular,912,Monthly,34.9,Semi-pucca,5,1.3,Daily Wage
895,Regular,1092,Bi-weekly,18.3,Pucca,8,1.5,Salaried
896,Regular,715,Ad-hoc,50.2,Pucca,5,1.3,Business
897,Regular,1405,Weekly,6.2,Semi-pucca,10,2.0,Salaried
898,Regular,779,Monthly,43.5,Kutcha,5,1.7,Daily Wage
899,Regular,1555,Weekly,9.2,Semi-pucca,10,1.5,Salaried
900,Irregular,850,Monthly,62.6,Semi-pucca,3,2.0,Agriculture
901,Irregular,1151,Ad-hoc,37.7,Kutcha,6,1.5,Business
902,Regular,1163,Weekly,12.7,Pucca,8,1.5,Salaried
903,Regular,1126,Weekly,27.4,Pucca,7,1.5,Salaried
904,Regular,833,Monthly,38.3,Semi-pucca,7,1.2,Agriculture
905,Irregular,1234,Weekly,17.8,Pucca,10,1.5,Salaried
906,Regular,914,Monthly,21.6,Semi-pucca,6,1.5,Salaried
907,Irregular,975,Bi-weekly,52.1,Semi-pucca,4,1.5,Daily Wage
908,Irregular,1002,Bi-weekly,27.9,Pucca,8,1.5,Salaried
909,Irregular,908,Bi-weekly,48.5,Pucca,6,1.8,Daily Wage
910,Regular,1085,Ad-hoc,34.8,Pucca,7,2.0,Daily Wage
911,Regular,906,Ad-hoc,37.8,Semi-pucca,7,1.6,Business
912,Regular,787,Monthly,45.5,Pucca,4,1.3,Agriculture
913,Irregular,762,Ad-hoc,56.5,Pucca,6,2.0,Daily Wage
914,Regular,1363,Weekly,13.5,Pucca,10,1.3,Salaried
915,Irregular,918,Bi-weekly,41.9,Semi-pucca,4,2.0,Daily Wage
916,Regular,793,Monthly,62.8,Semi-pucca,2,2.5,Business
917,Irregular,1045,Monthly,42.3,Semi-pucca,5,2.0,Daily Wage
918,Irregular,1016,Monthly,32.4,Semi-pucca,8,1.5,Daily Wage
919,Regular,808,Monthly,52.4,Kutcha,3,1.8,Daily Wage
920,Regular,666,Monthly,68.4,Kutcha,3,2.0,Daily Wage
921,Irregular,1164,Ad-hoc,35.9,Semi-pucca,7,1.5,Business
922,Irregular,918,Monthly,39.4,Pucca,6,1.2,Business
923,Regular,1141,Bi-weekly,38.0,Kutcha,7,1.6,Daily Wage
924,Regular,1343,Bi-weekly,8.4,Pucca,8,1.2,Pension
925,Irregular,815,Monthly,43.7,Pucca,6,1.7,Agriculture
926,Regular,1290,Weekly,9.4,Pucca,8,1.0,Salaried
927,Regular,805,Bi-weekly,39.8,Pucca,6,1.7,Agriculture
928,Regular,1126,Bi-weekly,7.8,Kutcha,10,1.3,Salaried
929,Regular,1343,Weekly,12.8,Pucca,9,1.4,Business
930,Regular,1276,Monthly,21.4,Pucca,8,1.5,Business
931,Regular,1186,Weekly,19.0,Pucca,7,1.3,Business
932,Irregular,912,Bi-weekly,45.0,Semi-pucca,5,1.0,Daily Wage
933,Regular,1061,Weekly,23.4,Pucca,8,1.5,Salaried
934,Irregular,1313,Monthly,10.0,Pucca,7,2.0,Business
935,Regular,1484,Bi-weekly,17.5,Semi-pucca,8,1.4,Salaried
936,Regular,1199,Monthly,31.1,Pucca,7,2.0,Daily Wage
937,Regular,1051,Bi-weekly,30.7,Semi-pucca,5,1.6,Daily Wage
938,Irregular,1029,Monthly,31.6,Pucca,8,1.3,Daily Wage
939,Irregular,853,Monthly,44.9,Pucca,7,2.5,Daily Wage
940,Regular,653,Ad-hoc,49.9,Pucca,4,3.0,Daily Wage
941,Irregular,914,Ad-hoc,38.0,Pucca,8,2.5,Agriculture
942,Regular,1209,Weekly,25.9,Semi-pucca,7,1.5,Salaried
943,Regular,1030,Weekly,21.7,Semi-pucca,8,1.6,Business
944,Defaulted,663,Ad-hoc,63.4,Pucca,3,2.5,Daily Wage
945,Irregular,910,Ad-hoc,30.2,Pucca,8,1.7,Daily Wage
946,Regular,1121,Ad-hoc,35.3,Semi-pucca,7,1.8,Agriculture
947,Regular,1006,Weekly,19.6,Pucca,7,2.0,Salaried
948,Regular,1268,Bi-weekly,19.5,Pucca,7,1.3,Business
949,Regular,1411,Weekly,12.0,Kutcha,7,1.5,Salaried
950,Regular,1037,Weekly,28.8,Pucca,7,1.5,Salaried
951,Defaulted,1089,Bi-weekly,19.5,Kutcha,9,1.4,Salaried
952,Regular,1222,Bi-weekly,22.2,Pucca,9,1.2,Salaried
953,Irregular,1082,Monthly,49.2,Semi-pucca,5,2.3,Daily Wage
954,Regular,1494,Bi-weekly,8.5,Pucca,8,1.5,Salaried
955,Regular,1201,Bi-weekly,17.1,Pucca,7,1.5,Business
956,Regular,916,Monthly,32.8,Pucca,8,1.7,Daily Wage
957,Irregular,1021,Ad-hoc,31.5,Pucca,6,1.5,Agriculture
958,Irregular,548,Ad-hoc,55.9,Pucca,5,2.5,Daily Wage
959,Regular,1259,Bi-weekly,5.7,Pucca,8,1.5,Salaried
960,Regular,889,Monthly,52.2,Pucca,5,2.0,Agriculture
961,Regular,1226,Bi-weekly,11.1,Semi-pucca,8,1.0,Salaried
962,Regular,1066,Bi-weekly,22.7,Pucca,9,1.7,Salaried
963,Regular,1301,Weekly,8.2,Pucca,10,1.3,Business
964,Irregular,1339,Weekly,2.0,Pucca,9,1.2,Salaried
965,Irregular,939,Ad-hoc,51.5,Pucca,5,2.0,Daily Wage
966,Regular,1046,Bi-weekly,15.2,Pucca,8,1.3,Business
967,Irregular,1031,Monthly,40.2,Pucca,4,1.8,Daily Wage
968,Regular,1180,Weekly,19.3,Semi-pucca,7,1.5,Salaried
969,Defaulted,836,Ad-hoc,56.8,Pucca,5,1.6,Daily Wage
970,Regular,977,Weekly,20.7,Pucca,8,1.2,Salaried
971,Regular,1256,Weekly,24.3,Semi-pucca,8,1.4,Business
972,Regular,1290,Weekly,16.9,Semi-pucca,8,1.0,Salaried
973,Irregular,1502,Bi-weekly,12.0,Pucca,10,1.2,Business
974,Defaulted,812,Bi-weekly,42.8,Kutcha,6,1.7,Daily Wage
975,Irregular,1009,Bi-weekly,28.1,Pucca,8,1.4,Salaried
976,Regular,1122,Bi-weekly,2.6,Semi-pucca,8,1.2,Salaried
977,Regular,651,Monthly,57.6,Semi-pucca,0,4.0,Daily Wage
978,Regular,1329,Weekly,24.7,Pucca,8,1.3,Business
979,Regular,1302,Weekly,12.7,Kutcha,7,1.3,Salaried
980,Regular,1213,Weekly,7.7,Pucca,9,1.3,Business
981,Regular,1273,Bi-weekly,13.2,Pucca,8,1.5,Business
982,Irregular,1014,Ad-hoc,34.2,Semi-pucca,8,1.0,Daily Wage
983,Regular,646,Bi-weekly,44.2,Pucca,6,1.7,Agriculture
984,Irregular,906,Bi-weekly,22.9,Pucca,8,3.0,Pension
985,Irregular,660,Ad-hoc,81.3,Semi-pucca,3,3.5,Daily Wage
986,Regular,1274,Weekly,20.8,Pucca,8,1.0,Business
987,Regular,905,Weekly,26.1,Pucca,7,1.4,Salaried
988,Regular,1261,Bi-weekly,11.0,Pucca,10,1.2,Salaried
989,Regular,1023,Bi-weekly,25.1,Pucca,6,1.3,Salaried
990,Irregular,1044,Ad-hoc,46.2,Semi-pucca,6,2.0,Daily Wage
991,Irregular,777,Monthly,62.2,Kutcha,2,1.8,Agriculture
992,Defaulted,807,Ad-hoc,39.8,Pucca,6,2.0,Daily Wage
993,Irregular,1352,Weekly,5.9,Pucca,10,1.5,Salaried
994,Regular,1284,Weekly,10.0,Semi-pucca,10,1.2,Salaried
995,Irregular,1330,Bi-weekly,5.9,Semi-pucca,8,1.2,Salaried
996,Regular,1174,Weekly,14.0,Pucca,8,1.3,Business
997,Irregular,1203,Bi-weekly,18.1,Semi-pucca,9,1.2,Salaried
998,Irregular,1148,Weekly,12.1,Pucca,9,1.2,Business
999,Irregular,815,Ad-hoc,38.0,Kutcha,6,1.6,Agriculture
1000,Regular,1098,Bi-weekly,11.6,Pucca,8,1.2,Salaried
1001,Regular,874,Ad-hoc,34.4,Pucca,6,1.0,Agriculture
1002,Defaulted,992,Bi-weekly,42.4,Pucca,7,2.0,Daily Wage
1003,Regular,1217,Bi-weekly,22.3,Semi-pucca,8,1.4,Salaried
1004,Regular,1058,Monthly,49.7,Semi-pucca,5,1.5,Daily Wage
1005,Regular,964,Ad-hoc,36.7,Pucca,6,1.8,Daily Wage
1006,Regular,1303,Bi-weekly,17.7,Pucca,7,1.5,Salaried
1007,Regular,1122,Weekly,25.8,Semi-pucca,9,1.8,Business
1008,Regular,1233,Weekly,18.9,Semi-pucca,9,2.0,Salaried
1009,Regular,1056,Ad-hoc,41.6,Semi-pucca,9,1.5,Daily Wage
1010,Irregular,1070,Ad-hoc,37.4,Semi-pucca,5,1.5,Agriculture
1011,Regular,1067,Monthly,31.6,Pucca,8,1.4,Agriculture
1012,Regular,1221,Bi-weekly,8.4,Pucca,8,1.4,Business
1013,Regular,1251,Bi-weekly,17.0,Semi-pucca,8,1.5,Pension
1014,Regular,1428,Bi-weekly,14.8,Pucca,10,1.3,Salaried
1015,Regular,1380,Weekly,4.0,Pucca,7,1.0,Business
1016,Regular,1231,Bi-weekly,10.3,Pucca,9,1.0,Salaried
1017,Regular,1399,Bi-weekly,10.5,Pucca,8,1.5,Business
1018,Regular,955,Bi-weekly,22.8,Pucca,7,1.0,Business
1019,Regular,905,Ad-hoc,40.4,Semi-pucca,6,2.0,Agriculture
1020,Regular,1058,Weekly,18.5,Pucca,9,1.3,Salaried
1021,Irregular,1123,Weekly,23.6,Pucca,7,1.7,Salaried
1022,Irregular,1315,Weekly,23.6,Pucca,8,1.4,Salaried
1023,Regular,1208,Weekly,25.6,Pucca,8,1.5,Salaried
1024,Regular,833,Weekly,27.7,Pucca,7,1.7,Salaried
1025,Regular,771,Ad-hoc,49.3,Semi-pucca,4,1.6,Business
1026,Regular,943,Bi-weekly,22.5,Pucca,9,1.7,Salaried
1027,Regular,1000,Monthly,49.8,Semi-pucca,5,2.0,Daily Wage
1028,Regular,1020,Weekly,27.1,Semi-pucca,8,1.7,Salaried
1029,Regular,1141,Weekly,24.5,Pucca,7,1.5,Business
1030,Irregular,639,Ad-hoc,70.7,Kutcha,2,4.0,Daily Wage
1031,Defaulted,944,Ad-hoc,44.1,Pucca,5,2.0,Daily Wage
1032,Regular,947,Weekly,4.3,Pucca,8,2.0,Salaried
1033,Irregular,1078,Ad-hoc,33.8,Semi-pucca,5,1.5,Agriculture
1034,Defaulted,1202,Weekly,10.9,Pucca,8,1.2,Salaried
1035,Regular,1211,Weekly,27.9,Semi-pucca,8,1.4,Salaried
1036,Irregular,1292,Weekly,12.3,Semi-pucca,8,2.0,Salaried
1037,Regular,1146,Ad-hoc,31.1,Pucca,6,1.3,Daily Wage
1038,Regular,659,Bi-weekly,58.1,Pucca,3,2.0,Agriculture
1039,Irregular,854,Bi-weekly,35.2,Semi-pucca,6,1.5,Daily Wage
1040,Regular,1291,Weekly,21.2,Pucca,7,1.4,Salaried
1041,Regular,1269,Weekly,19.1,Pucca,10,1.0,Business
1042,Irregular,849,Ad-hoc,52.9,Kutcha,6,2.0,Daily Wage
1043,Regular,1052,Monthly,34.4,Pucca,8,1.5,Agriculture
1044,Irregular,898,Ad-hoc,50.9,Kutcha,6,1.7,Agriculture
1045,Irregular,791,Monthly,38.9,Semi-pucca,5,2.0,Daily Wage
1046,Regular,1277,Weekly,24.9,Semi-pucca,6,3.0,Salaried
1047,Irregular,1019,Monthly,32.6,Pucca,5,1.3,Daily Wage
1048,Defaulted,704,Monthly,61.6,Pucca,5,2.5,Agriculture
1049,Regular,1051,Weekly,26.4,Pucca,7,1.5,Business
1050,Defaulted,853,Weekly,18.2,Pucca,7,1.2,Business
1051,Regular,1291,Monthly,17.2,Pucca,8,1.5,Salaried
1052,Irregular,823,Ad-hoc,39.7,Pucca,6,2.0,Daily Wage
1053,Regular,1192,Monthly,20.2,Pucca,8,1.6,Business
1054,Regular,1033,Weekly,22.9,Pucca,8,1.7,Business
1055,Irregular,842,Monthly,46.3,Semi-pucca,4,1.7,Business
1056,Regular,1232,Weekly,10.1,Pucca,10,1.5,Salaried
1057,Regular,974,Bi-weekly,28.0,Pucca,6,3.0,Salaried
1058,Irregular,827,Ad-hoc,49.1,Semi-pucca,5,1.7,Daily Wage
1059,Regular,985,Ad-hoc,31.6,Kutcha,8,2.0,Daily Wage
1060,Regular,944,Weekly,28.2,Pucca,6,1.4,Salaried
1061,Regular,1149,Monthly,37.7,Pucca,6,1.5,Agriculture
1062,Irregular,932,Bi-weekly,32.3,Pucca,7,1.5,Daily Wage
1063,Regular,1208,Weekly,24.5,Semi-pucca,7,1.4,Business
1064,Regular,1437,Weekly,5.1,Semi-pucca,9,1.2,Salaried
1065,Regular,1101,Monthly,38.9,Semi-pucca,7,1.7,Daily Wage
1066,Regular,1223,Weekly,9.1,Pucca,10,1.2,Salaried
1067,Defaulted,924,Monthly,40.7,Semi-pucca,7,1.8,Daily Wage
1068,Regular,1322,Weekly,4.9,Pucca,10,1.3,Salaried
1069,Regular,1326,Bi-weekly,13.4,Pucca,9,1.2,Salaried
1070,Irregular,1023,Bi-weekly,31.1,Semi-pucca,6,1.2,Daily Wage
1071,Regular,1205,Weekly,23.5,Kutcha,8,1.3,Salaried
1072,Irregular,1136,Bi-weekly,20.7,Pucca,8,1.5,Salaried
1073,Irregular,806,Ad-hoc,68.2,Pucca,4,3.0,Agriculture
1074,Irregular,944,Bi-weekly,41.3,Semi-pucca,6,1.8,Business
1075,Irregular,1323,Monthly,5.3,Semi-pucca,10,2.0,Salaried
1076,Defaulted,907,Monthly,49.1,Semi-pucca,5,2.0,Agriculture
1077,Regular,1128,Monthly,45.5,Pucca,6,1.7,Daily Wage
1078,Irregular,918,Monthly,36.1,Pucca,5,1.7,Daily Wage
1079,Regular,1338,Weekly,18.8,Pucca,8,1.4,Salaried
1080,Irregular,849,Ad-hoc,39.6,Pucca,8,1.7,Daily Wage
1081,Regular,1093,Weekly,28.4,Semi-pucca,8,1.5,Salaried
1082,Irregular,808,Monthly,43.7,Semi-pucca,6,2.0,Daily Wage
1083,Regular,1191,Monthly,14.2,Semi-pucca,10,1.2,Business
1084,Regular,1112,Weekly,17.5,Pucca,7,2.0,Salaried
1085,Defaulted,1377,Bi-weekly,10.9,Semi-pucca,8,1.2,Salaried
1086,Regular,1164,Weekly,15.1,Pucca,10,1.3,Business
1087,Irregular,1254,Weekly,20.0,Semi-pucca,8,1.7,Salaried
1088,Irregular,970,Monthly,32.4,Pucca,6,3.0,Daily Wage
1089,Regular,1231,Bi-weekly,15.2,Pucca,7,1.3,Business
1090,Regular,1305,Bi-weekly,27.2,Pucca,8,1.5,Salaried
1091,Regular,762,Bi-weekly,48.5,Semi-pucca,6,2.0,Daily Wage
1092,Irregular,902,Bi-weekly,36.0,Pucca,5,1.2,Business
1093,Regular,1149,Monthly,19.7,Pucca,8,1.0,Salaried
1094,Regular,1380,Monthly,1.6,Kutcha,9,1.4,Salaried
1095,Regular,1178,Bi-weekly,28.0,Pucca,8,2.0,Business
1096,Regular,1201,Bi-weekly,18.6,Semi-pucca,7,1.5,Business
1097,Regular,1305,Bi-weekly,11.7,Kutcha,10,1.5,Salaried
1098,Regular,922,Weekly,28.7,Pucca,8,1.0,Salaried
1099,Defaulted,944,Ad-hoc,45.2,Semi-pucca,5,1.7,Daily Wage
1100,Irregular,1257,Bi-weekly,17.2,Pucca,8,1.3,Business
1101,Regular,1032,Ad-hoc,42.0,Pucca,6,2.0,Agriculture
1102,Regular,1097,Weekly,23.3,Pucca,7,1.5,Salaried
1103,Regular,1021,Ad-hoc,34.3,Kutcha,6,1.5,Daily Wage
1104,Irregular,970,Ad-hoc,48.0,Pucca,5,2.0,Daily Wage
1105,Regular,1234,Bi-weekly,1.6,Pucca,10,1.2,Business
1106,Defaulted,761,Ad-hoc,35.2,Semi-pucca,8,2.0,Business
1107,Regular,521,Ad-hoc,65.8,Kutcha,5,4.0,Daily Wage
1108,Regular,718,Ad-hoc,53.8,Pucca,5,1.7,Daily Wage
1109,Regular,1415,Weekly,12.3,Pucca,7,1.2,Salaried
1110,Irregular,1336,Bi-weekly,31.6,Pucca,7,1.5,Daily Wage
1111,Defaulted,482,Ad-hoc,71.8,Kutcha,4,2.0,Daily Wage
1112,Regular,1157,Monthly,21.0,Semi-pucca,6,1.7,Salaried
1113,Irregular,798,Bi-weekly,48.0,Kutcha,6,2.0,Agriculture
1114,Irregular,1136,Ad-hoc,30.1,Pucca,10,1.7,Business
1115,Regular,1197,Weekly,22.0,Pucca,9,1.4,Salaried
1116,Regular,751,Bi-weekly,47.8,Pucca,7,3.0,Daily Wage
1117,Regular,788,Ad-hoc,47.7,Pucca,5,1.5,Daily Wage
1118,Regular,1236,Bi-weekly,13.0,Pucca,10,1.4,Business
1119,Irregular,988,Ad-hoc,53.0,Pucca,4,2.0,Agriculture
1120,Regular,1302,Monthly,0.5,Pucca,10,1.0,Business
1121,Regular,947,Weekly,21.4,Kutcha,9,2.0,Salaried
1122,Regular,1262,Weekly,29.1,Pucca,7,1.2,Salaried
1123,Regular,1237,Monthly,21.1,Semi-pucca,9,1.2,Salaried
1124,Regular,929,Bi-weekly,28.0,Pucca,7,1.3,Business
1125,Regular,1241,Weekly,18.4,Pucca,8,1.7,Pension
1126,Regular,1224,Bi-weekly,26.3,Semi-pucca,7,1.5,Business
1127,Irregular,951,Ad-hoc,42.0,Pucca,5,1.5,Business
